popularity,title
349,12 Angry Men
168,Schindler's List
60,The Shawshank Redemption
67,The Godfather
61,The Dark Knight
223,The Lord of the Rings: The Return of the King
304,The Godfather: Part II
89,Pulp Fiction
"90
        ",The Lord of the Rings: The Fellowship of the Ring
"171
        ",Forrest Gump
369,The Lord of the Rings: The Two Towers
189,Fight Club
392,"The Good, the Bad and the Ugly"
909,Star Wars: Episode V - The Empire Strikes Back
211,Goodfellas
"2,004",Some Like It Hot
"3,263",All About Eve
"1,729",Raging Bull
103,Inception
"2,496",Hotel Rwanda
"2,187",Ran
"3,181",Amores Perros
,Time of the Gypsies
,7 Kogustaki Mucize
,Drishyam
"1,646","Paris, Texas"
"2,684",Before Sunset
"1,148",In the Mood for Love
"2,837",Rebecca
"3,214",Nausicaä of the Valley of the Wind
545,Portrait of a Lady on Fire
669,Rocky
"4,158",Gangs of Wasseypur
,Raatchasan
"37
        ",Soul
874,"Monsters, Inc."
584,Spotlight
"1,139",Monty Python's Life of Brian
,La Haine
372,Rush
282,Into the Wild
"1,530",Cool Hand Luke
,Hachi: A Dog's Tale
703,Platoon
582,The Handmaiden
459,Logan
109,Ben-Hur
"3,237",Network
512,Stand by Me
272,Harry Potter and the Deathly Hallows: Part 2
507,Dead Poets Society
152,Mad Max: Fury Road
3,Zack Snyder's Justice League
752,12 Years a Slave
"1,246",Million Dollar Baby
"2,062",Barry Lyndon
"1,328",How to Train Your Dragon
194,Ford v Ferrari
366,The Big Lebowski
,Andhadhun
"3,533",Persona
227,Prisoners
134,Gone Girl
395,Hacksaw Ridge
"1,398",Before Sunrise
541,Catch Me If You Can
230,The Grand Budapest Hotel
728,The Third Man
"3,274",On the Waterfront
,Mary and Max
877,The Deer Hunter
"1,187",In the Name of the Father
403,Room
"1,663",Gran Torino
469,Fargo
719,The Bridge on the River Kwai
287,Blade Runner
484,Kill Bill: Vol. 1
896,Memories of Murder
,Stalker
"1,259",Wild Tales
"1,000",Finding Nemo
486,The Truman Show
495,Trainspotting
905,Gone with the Wind
813,Warrior
"2,114",The Seventh Seal
147,Jurassic Park
"2,971",Klaus
767,The Sixth Sense
"1,995",The Elephant Man
"3,892",Dial M for Murder
833,The Thing
"1,169",Chinatown
181,No Country for Old Men
394,"Three Billboards Outside Ebbing, Missouri"
750,Inside Out
256,Shutter Island
668,V for Vendetta
"4,985",Judgment at Nuremberg
"1,465",The Secret in Their Eyes
385,There Will Be Blood
552,"Lock, Stock and Two Smoking Barrels"
769,Pan's Labyrinth
"1,835",My Neighbor Totoro
"1,734",The Great Escape
"1,565",The Treasure of the Sierra Madre
540,A Beautiful Mind
688,Casino
"1,108",Downfall
759,Unforgiven
707,Howl's Moving Castle
94,The Wolf of Wall Street
"4,253",Rashomon
,Yojimbo
217,Batman Begins
162,Heat
178,Green Book
549,Die Hard
733,L.A. Confidential
"1,101",Indiana Jones and the Last Crusade
"1,208",Monty Python and the Holy Grail
"1,020",Up
"1,653",To Kill a Mockingbird
"1,474",For a Few Dollars More
"4,264",Double Indemnity
"2,611",Metropolis
"2,797",The Apartment
"1,064",Amélie
"1,175",Lawrence of Arabia
"2,546",A Separation
"1,752",Toy Story 3
"1,049",Incendies
318,A Clockwork Orange
365,Scarface
263,Taxi Driver
155,1917
300,Snatch
"2,040",North by Northwest
612,Full Metal Jacket
"2,156",The Sting
,Bicycle Thieves
,Come and See
,Dangal
343,Citizen Kane
,M
505,Vertigo
"1,809",Singin' in the Rain
420,The Hunt
254,Requiem for a Dream
,Ikiru
389,Reservoir Dogs
501,2001: A Space Odyssey
466,Eternal Sunshine of the Spotless Mind
,Mint a csillagok a földön
"2,296",Das Boot
341,Good Will Hunting
984,Star Wars: Episode VI - Return of the Jedi
"1,334",3 Idiots
691,Toy Story
383,Braveheart
122,Inglourious Basterds
,High and Low
317,American Beauty
"1,024",Amadeus
826,Capernaum
577,Coco
618,Your Name.
,Once Upon a Time in America
"1,097",Princess Mononoke
344,Aliens
496,Oldboy
"166
        ",The Dark Knight Rises
"1,141",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
24,Avengers: Endgame
,Witness for the Prosecution
284,Spider-Man: Into the Spider-Verse
,Sunset Blvd.
239,The Shining
"3,145",Paths of Glory
"1,104",WALL·E
78,Joker
432,Indiana Jones and the Raiders of the Lost Ark
197,Hamilton
196,Django Unchained
,The Great Dictator
"1,002",The Lives of Others
62,Avengers: Infinity War
191,Alien
225,Apocalypse Now
"1,851",Cinema Paradiso
"1,415",Rear Window
882,Once Upon a Time in the West
414,Memento
170,The Prestige
"1,306",Grave of the Fireflies
"4,360",Modern Times
262,Whiplash
169,Gladiator
632,Psycho
511,The Intouchables
164,The Departed
762,Casablanca
138,Back to the Future
384,The Pianist
"2,736",Hara-Kiri
427,The Usual Suspects
433,Terminator 2: Judgment Day
260,The Lion King
226,Léon: The Professional
379,Spirited Away
74,Parasite
210,The Green Mile
100,Interstellar
220,Saving Private Ryan
597,American History X
"1,742",It's a Wonderful Life
319,Star Wars: Episode IV - A New Hope
652,Life Is Beautiful
141,The Silence of the Lambs
"1,026",Seven Samurai
245,Se7en
565,City of God
393,One Flew Over the Cuckoo's Nest
154,The Matrix
